,Player1,Player2,Outcome
3330,Stan Wawrinka,Kevin Anderson,1
3331,Richard Gasquet,Roger Federer,-1
3332,Novak Djokovic,Marin Cilic,1
3333,Stan Wawrinka,Roger Federer,-1
3334,Novak Djokovic,Roger Federer,1
3424,Novak Djokovic,Philipp Kohlschreiber,1
3426,Pierre Hugues Herbert,Hyeon Chung,1
3427,Jan Lennard Struff,Bernard Tomic,1
3431,Lucas Pouille,Kevin Anderson,1
3436,Pablo Cuevas,Denis Kudla,1
3440,Stan Wawrinka,Joao Sousa,1
3442,Martin Klizan,Fernando Verdasco,1
3448,Grigor Dimitrov,Federico Delbonis,1
3472,Tomas Berdych,Jeremy Chardy,1
3476,Gael Monfils,Pablo Carreno Busta,1
3487,Damir Dzumhur,Roger Federer,-1
3489,Pierre Hugues Herbert,Bernard Tomic,-1
3490,Leonardo Mayer,Marcel Granollers,1
3493,Denis Kudla,Alexander Zverev,1
3495,Fernando Verdasco,Dominic Thiem,1
3498,Grigor Dimitrov,Steve Johnson,1
3503,Vasek Pospisil,Fabio Fognini,1
3508,Andreas Seppi,Borna Coric,1
3512,Gael Monfils,Adrian Mannarino,1
3514,Feliciano Lopez,Nikoloz Basilashvili,1
3515,Benoit Paire,Roberto Bautista Agut,1
3517,Sam Querrey,Roger Federer,-1
3518,Novak Djokovic,Bernard Tomic,1
3519,Leonardo Mayer,Kevin Anderson,-1
3520,Marin Cilic,John Isner,1
3522,Stan Wawrinka,Fernando Verdasco,1
3524,Grigor Dimitrov,Richard Gasquet,-1
3525,Nick Kyrgios,Milos Raonic,1
3530,Tomas Berdych,Pablo Andujar,1
3531,Gael Monfils,Gilles Simon,1
3532,Nikoloz Basilashvili,Roberto Bautista Agut,-1
3534,Novak Djokovic,Kevin Anderson,1
3535,Marin Cilic,Denis Kudla,1
3536,Stan Wawrinka,David Goffin,1
3537,Richard Gasquet,Nick Kyrgios,1
3540,Tomas Berdych,Gilles Simon,-1
3541,Roberto Bautista Agut,Roger Federer,-1
3542,Novak Djokovic,Marin Cilic,1
3543,Stan Wawrinka,Richard Gasquet,1
3545,Gilles Simon,Roger Federer,-1
3546,Novak Djokovic,Richard Gasquet,1
3548,Novak Djokovic,Roger Federer,1
3676,Novak Djokovic,Hyeon Chung,1
3680,Vasek Pospisil,Gilles Simon,1
3688,Philipp Kohlschreiber,Kei Nishikori,-1
3689,Roger Federer,Nikoloz Basilashvili,1
3692,Dominic Thiem,Leonardo Mayer,1
3697,Dusan Lajovic,Sam Querrey,1
3698,Nick Kyrgios,Pablo Carreno Busta,1
3699,Yoshihito Nishioka,Pablo Cuevas,-1
3701,Rafael Nadal,Fernando Verdasco,1
3708,Milos Raonic,Lucas Pouille,1
3718,Aljaz Bedene,Steve Johnson,-1
3720,Matthew Ebden,Marcel Granollers,1
3722,Bernard Tomic,Denis Istomin,1
3725,Joao Sousa,Mikhail Kukushkin,1
3730,Denis Kudla,Andreas Seppi,-1
3732,Evgeny Donskoy,Gilles Simon,1
3740,Damir Dzumhur,David Goffin,1
3742,Dusan Lajovic,Roberto Bautista Agut,1
3743,Nick Kyrgios,Pablo Cuevas,1
3744,Mirza Basic,Tomas Berdych,-1
3754,Feliciano Lopez,Guido Pella,1
3755,Marcel Granollers,John Isner,-1
3760,Novak Djokovic,Andreas Seppi,1
3761,Federico Delbonis,Gilles Simon,-1
3764,Roger Federer,Grigor Dimitrov,1
3765,Dominic Thiem,David Goffin,1
3766,Marin Cilic,Roberto Bautista Agut,-1
3767,Nick Kyrgios,Tomas Berdych,1
3773,Feliciano Lopez,John Isner,1
3774,Bernard Tomic,John Millman,1
3776,Novak Djokovic,Gilles Simon,1
3778,Roger Federer,David Goffin,1
3779,Roberto Bautista Agut,Tomas Berdych,1
3781,Milos Raonic,Stan Wawrinka,1
3784,Novak Djokovic,Kei Nishikori,1
3785,Roger Federer,Tomas Berdych,1
3786,Gael Monfils,Milos Raonic,1
3788,Novak Djokovic,Roger Federer,1
3913,Vasek Pospisil,Tomas Berdych,-1
3922,Mikhail Kukushkin,Adrian Mannarino,1
3929,Jeremy Chardy,Leonardo Mayer,1
3933,Fernando Verdasco,Steve Johnson,1
3934,Nick Kyrgios,Marco Cecchinato,1
3937,John Isner,John Millman,1
3938,Nikoloz Basilashvili,Kyle Edmund,1
3940,Radu Albot,Benoit Paire,1
3943,Aljaz Bedene,Pablo Carreno Busta,1
3944,Bernard Tomic,Borna Coric,1
3949,Malek Jaziri,Tomas Berdych,1
3956,Milos Raonic,Adrian Mannarino,1
3959,Gilles Simon,Guido Pella,1
3961,Taro Daniel,Stan Wawrinka,-1
3965,John Isner,Kyle Edmund,1
3967,Ivo Karlovic,Jordan Thompson,1
3969,Novak Djokovic,Aljaz Bedene,1
3970,Borna Coric,Roberto Bautista Agut,-1
3972,Pablo Cuevas,Tomas Berdych,1
3973,Alexander Zverev,Dominic Thiem,1
3979,Jeremy Chardy,Stan Wawrinka,-1
3980,Kei Nishikori,Fernando Verdasco,1
3981,Nick Kyrgios,Richard Gasquet,-1
3984,Novak Djokovic,Roberto Bautista Agut,1
3986,Marcel Granollers,Dominic Thiem,1
3987,David Goffin,Ernests Gulbis,1
3990,Kei Nishikori,Richard Gasquet,1
3992,Novak Djokovic,Tomas Berdych,1
3993,Dominic Thiem,David Goffin,1
3996,Novak Djokovic,Dominic Thiem,1
4084,John Isner,Frances Tiafoe,1
4086,Kyle Edmund,Richard Gasquet,1
4089,Vasek Pospisil,Jozef Kovalik,1
4090,Yoshihito Nishioka,Kevin Anderson,-1
4093,Rafael Nadal,Denis Istomin,1
4097,Dominic Thiem,John Millman,1
4099,Steve Johnson,Evgeny Donskoy,1
4101,Nick Kyrgios,Aljaz Bedene,1
4102,Damir Dzumhur,Bernard Tomic,1
4104,Fernando Verdasco,Stan Wawrinka,-1
4109,Feliciano Lopez,Borna Coric,-1
4114,Vasek Pospisil,Kevin Anderson,-1
4117,Rafael Nadal,Andreas Seppi,1
4119,Federico Delbonis,Roberto Bautista Agut,1
4123,Ryan Harrison,Milos Raonic,1
4129,Kei Nishikori,Karen Khachanov,1
4133,Feliciano Lopez,Joao Sousa,1
4134,Jeremy Chardy,Grigor Dimitrov,1
4137,John Isner,Kyle Edmund,1
4141,Lucas Pouille,Roberto Bautista Agut,1
4144,Dominic Thiem,Pablo Carreno Busta,1
4150,Joao Sousa,Grigor Dimitrov,1
4152,Novak Djokovic,Kyle Edmund,1
4154,Rafael Nadal,Lucas Pouille,1
4158,Kei Nishikori,Ivo Karlovic,1
4161,Lucas Pouille,Gael Monfils,-1
4164,Novak Djokovic,Gael Monfils,1
4165,Stan Wawrinka,Kei Nishikori,1
4166,Novak Djokovic,Stan Wawrinka,1
4256,Kyle Edmund,Adrian Mannarino,-1
4259,Philipp Kohlschreiber,Pierre Hugues Herbert,1
4260,Damir Dzumhur,Denis Kudla,1
4266,Denis Istomin,Kevin Anderson,1
4270,Pablo Carreno Busta,Milos Raonic,-1
4271,Roger Federer,Guido Pella,1
4275,Gael Monfils,Jeremy Chardy,1
4276,Malek Jaziri,Steve Johnson,-1
4282,Borna Coric,Ivo Karlovic,-1
4295,Roberto Bautista Agut,Jordan Thompson,1
4296,Mikhail Kukushkin,Martin Klizan,1
4298,Fernando Verdasco,Bernard Tomic,1
4299,Lucas Pouille,Marius Copil,1
4303,Richard Gasquet,Aljaz Bedene,1
4313,Federico Delbonis,Fabio Fognini,1
4319,Novak Djokovic,Adrian Mannarino,1
4321,Pierre Hugues Herbert,Damir Dzumhur,1
4326,Andreas Seppi,Milos Raonic,-1
4329,Jeremy Chardy,Steve Johnson,-1
4330,Grigor Dimitrov,Gilles Simon,1
4335,Dominic Thiem,Jiri Vesely,-1
4339,Radu Albot,Bernard Tomic,1
4341,Juan Martin Del Potro,Stan Wawrinka,1
4342,Richard Gasquet,Marcel Granollers,1
4347,Fabio Fognini,Feliciano Lopez,1
4348,Benoit Paire,John Millman,1
4350,Novak Djokovic,Sam Querrey,1
4352,David Goffin,Denis Istomin,1
4355,Steve Johnson,Grigor Dimitrov,1
4358,Jiri Vesely,Joao Sousa,1
4359,Alexander Zverev,Tomas Berdych,1
4360,Roberto Bautista Agut,Bernard Tomic,-1
4361,Lucas Pouille,Juan Martin Del Potro,1
4364,Nick Kyrgios,Feliciano Lopez,1
4367,David Goffin,Milos Raonic,1
4368,Roger Federer,Steve Johnson,1
4369,Marin Cilic,Kei Nishikori,1
4370,Jiri Vesely,Tomas Berdych,1
4371,Bernard Tomic,Lucas Pouille,1
4374,Sam Querrey,Milos Raonic,1
4375,Roger Federer,Marin Cilic,1
4376,Tomas Berdych,Lucas Pouille,1
4378,Milos Raonic,Roger Federer,1
4393,Stan Wawrinka,Martin Klizan,1
4394,Federico Delbonis,Steve Johnson,-1
4403,Karen Khachanov,Adrian Mannarino,1
4409,Gael Monfils,Jiri Vesely,1
4411,Nikoloz Basilashvili,Philipp Kohlschreiber,1
4412,Alexander Zverev,Robin Haase,1
4415,Roberto Bautista Agut,Guido Pella,1
4422,Dominic Thiem,Jan Lennard Struff,1
4423,Jordan Thompson,Joao Sousa,1
4425,Fabio Fognini,Feliciano Lopez,1
4429,Reilly Opelka,David Goffin,1
4435,Fernando Verdasco,Novak Djokovic,-1
4437,Alex De Minaur,Sam Querrey,-1
4438,John Isner,Mischa Zverev,1
4440,Tomas Berdych,Ryan Harrison,1
4443,Jeremy Chardy,Kei Nishikori,-1
4444,Stan Wawrinka,Steve Johnson,1
4447,Andreas Seppi,Nick Kyrgios,1
4454,Alexander Zverev,Frances Tiafoe,1
4456,Roberto Bautista Agut,Yoshihito Nishioka,1
4460,Dominic Thiem,Jordan Thompson,1
4461,Benoit Paire,Fabio Fognini,1
