,Player1,Player2,Outcome
610,Roger Federer,Philipp Kohlschreiber,1
611,Pablo Cuevas,Fernando Verdasco,1
612,Roger Federer,Sam Querrey,1
613,Stan Wawrinka,Philipp Kohlschreiber,1
614,Marin Cilic,Robin Haase,1
615,David Ferrer,Steve Darcis,1
616,Stan Wawrinka,Marin Cilic,1
617,Fernando Verdasco,Mikhail Youzhny,1
618,Roger Federer,Julien Benneteau,1
619,Rafael Nadal,Fernando Verdasco,1
620,Gael Monfils,David Ferrer,1
621,Roger Federer,Gael Monfils,1
622,Rafael Nadal,Novak Djokovic,1
623,Rafael Nadal,Roger Federer,1
624,Fernando Verdasco,Philipp Kohlschreiber,1
625,Fernando Verdasco,Tomas Berdych,1
626,Stan Wawrinka,Mischa Zverev,1
627,Richard Gasquet,Gilles Simon,1
628,Andy Murray,Richard Gasquet,1
629,Rafael Nadal,Mikhail Youzhny,1
630,Rafael Nadal,Andy Murray,1
631,Rafael Nadal,Roger Federer,1
632,Sam Querrey,Tomas Berdych,1
633,Gael Monfils,Pablo Cuevas,1
634,Marin Cilic,Julien Benneteau,1
